gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Rtn1	2.519687463669802e-86	5.926394259062567	0.992	0.155	5.0393749273396045e-83
Aplp1	2.5543051503280847e-86	7.453138283892404	0.992	0.122	5.108610300656169e-83
Isl1	2.830204092253135e-86	7.544762292299707	0.992	0.081	5.66040818450627e-83
Kif5c	3.742136846049031e-86	6.809217936257667	1	0.224	7.484273692098063e-83
Smpd3	3.776912295118862e-86	4.514472055642413	0.992	0.062	7.553824590237724e-83
Mapt	1.529473265295994e-85	6.513763085308547	1	0.199	3.0589465305919877e-82
Celf4	1.6181924290520002e-85	5.8567339551776385	0.992	0.106	3.2363848581040003e-82
Nefm	1.8398756651798854e-85	4.466674669899978	0.992	0.078	3.679751330359771e-82
Map1b	2.5071715237388095e-85	7.212610593064346	1	0.152	5.014343047477619e-82
Nnat	4.686011067693785e-85	5.97377755668955	0.992	0.183	9.372022135387569e-82
Pkia	8.190300042265992e-85	-1.0629431581877924	1	0.194	1.6380600084531986e-81
Ank3	1.1683069340401166e-84	-3.020201583380496	0.992	0.051	2.3366138680802333e-81
Ndn	1.4224476001564017e-84	8.212370409016152	0.992	0.054	2.8448952003128035e-81
Ddah1	1.930047368024511e-84	6.060276493270038	0.985	0.1	3.860094736049022e-81
Mageh1	2.235298508184736e-84	-2.7852128006601067	0.992	0.068	4.470597016369472e-81
Ina	2.4723316737620565e-84	6.802724079515093	1	0.164	4.9446633475241125e-81
Dclk1	5.857215442865108e-84	-5.60915296441685	0.992	0.11	1.1714430885730217e-80
Fermt2	7.512817220659437e-84	-3.5070527725487946	0.985	0.039	1.5025634441318873e-80
Chn1	1.0877018908731082e-83	0.37987661849413534	0.992	0.184	2.1754037817462164e-80
Uchl1	2.2148348530973013e-83	6.455605310479191	0.992	0.186	4.4296697061946025e-80
Cystm1	4.227037193624027e-83	1.0574721113502754	0.977	0.091	8.454074387248055e-80
Tppp3	4.517399559636875e-83	4.759995665371044	0.992	0.103	9.03479911927375e-80
Psd	5.389010714484938e-83	-4.075481370190833	0.985	0.123	1.0778021428969875e-79
Syp	6.742625329864383e-83	4.3154038442885785	0.985	0.128	1.3485250659728766e-79
Tbx2	9.687716680497602e-83	-2.7660208663512442	0.977	0.089	1.9375433360995205e-79
Fscn1	2.060075138698763e-82	4.361058677475883	0.992	0.11	4.1201502773975264e-79
Parva	2.1410459308153844e-82	5.220206962640807	0.977	0.092	4.2820918616307687e-79
Tubb4a	3.201030308504821e-82	5.848969085221404	0.977	0.136	6.402060617009642e-79
Lix1	6.022309478787074e-82	5.816456657630749	0.977	0.143	1.2044618957574146e-78
Hap1	6.940335776004097e-82	-3.854640373772151	0.985	0.182	1.3880671552008193e-78
Snhg11	1.3173579302837947e-81	5.535033236653128	0.977	0.112	2.6347158605675893e-78
Rbms3	1.8375240691992021e-81	4.952361124943096	0.985	0.101	3.675048138398404e-78
Gstm5	8.070702116648622e-81	4.086406784080291	0.977	0.032	1.6141404233297246e-77
Dpysl3	9.02743695458269e-81	5.61555849212494	0.985	0.133	1.805487390916538e-77
Rtn2	1.199489752304706e-80	-4.06820441381883	0.977	0.09	2.398979504609412e-77
Ndrg4	1.79476879842871e-80	5.104913064209985	0.977	0.169	3.58953759685742e-77
Slc18a2	2.4343948776899075e-80	4.055994976626785	0.985	0.244	4.868789755379815e-77
Myadm	3.2783431854343977e-80	-12.259003521648404	0.97	0.038	6.556686370868795e-77
Scg5	4.0251073535465595e-80	7.513906436772194	0.992	0.137	8.05021470709312e-77
App	4.582570103949401e-80	4.018856390172052	0.985	0.063	9.165140207898802e-77
L1cam	5.312638861774958e-80	4.441510389685622	0.977	0.151	1.0625277723549916e-76
Spock2	6.460180067978007e-80	-11.115427993398022	0.97	0.055	1.2920360135956013e-76
C530008M17Rik	6.588574264524957e-80	-3.2260141760978733	0.97	0.105	1.3177148529049914e-76
Crmp1	8.33899361343698e-80	6.3465659811533435	0.992	0.133	1.6677987226873958e-76
Ptprd	1.4312449665648202e-79	-7.051937398932054	0.977	0.081	2.8624899331296405e-76
Nrep	2.4294168117453302e-79	-3.4957779990931197	0.97	0.102	4.8588336234906604e-76
Nrp2	2.5054354447859593e-79	-2.191767388526973	0.977	0.084	5.0108708895719183e-76
Rhoc	2.820125554459754e-79	2.193143412016095	0.985	0.075	5.640251108919508e-76
Nsg1	3.9300771579989605e-79	7.766052702330812	0.977	0.177	7.860154315997921e-76
Slc4a8	7.524098298456291e-79	-10.493832688933079	0.97	0.073	1.504819659691258e-75
Fxyd7	7.874269408031768e-79	6.362854529833479	0.97	0.208	1.5748538816063538e-75
Tmcc2	1.357926609942407e-78	-11.467824295124057	0.962	0.125	2.715853219884814e-75
Rac3	1.4736192487468076e-78	-0.35319679653983016	0.97	0.113	2.947238497493615e-75
Tspan17	1.54027641556842e-78	2.3975790117218967	0.977	0.125	3.08055283113684e-75
Pfn2	1.5726252098202775e-78	5.772273518280869	0.992	0.128	3.145250419640555e-75
Ptn	2.194696835811022e-78	1.7431078954139672	0.977	0.074	4.389393671622044e-75
Alcam	2.2249427903812347e-78	2.4989799126590118	0.977	0.065	4.449885580762469e-75
Palmd	2.2262313024399337e-78	-12.081928404370323	0.97	0.084	4.452462604879867e-75
Maged1	3.146040883810271e-78	4.513959931044278	0.992	0.112	6.292081767620542e-75
Tnnc1	3.4292708927407555e-78	4.888537523328878	0.985	0.168	6.858541785481511e-75
Snx24	3.501530105620485e-78	-12.392700242029727	0.955	0.064	7.00306021124097e-75
Dmtn	3.761372194668779e-78	-10.56054140339209	0.985	0.111	7.522744389337558e-75
Tubb3	4.425384565199884e-78	8.951200445014688	1	0.176	8.85076913039977e-75
Gria2	8.985372810054332e-78	-2.750055708763533	0.977	0.243	1.7970745620108665e-74
Tspan7	1.1015908646845772e-77	-1.8307959819780741	0.962	0.113	2.2031817293691543e-74
Rundc3a	1.6463824571944884e-77	4.337971019165327	0.985	0.14	3.2927649143889767e-74
Cc2d2a	6.817484267625028e-77	-10.892530766895765	0.962	0.098	1.3634968535250057e-73
Crip2	8.46505004091558e-77	4.013681662033893	0.977	0.095	1.693010008183116e-73
Ebf1	1.5596243917909083e-76	2.882128710817458	0.962	0.098	3.1192487835818163e-73
Sez6l2	2.760267992270703e-76	-2.5452214345434747	0.97	0.162	5.520535984541406e-73
Zcchc12	5.981186216868985e-76	-1.7475962724470264	0.962	0.126	1.196237243373797e-72
Pmp22	6.404406038415453e-76	1.7029875210276977	0.97	0.089	1.2808812076830905e-72
Ckap4	8.605803268782775e-76	-0.41701681404824953	0.977	0.089	1.721160653756555e-72
Rab15	3.4377914364936815e-75	-12.294827936891348	0.962	0.088	6.875582872987363e-72
Gda	7.149785610611912e-75	3.981915016456451	0.955	0.101	1.4299571221223823e-71
Zfhx3	8.911121313409405e-75	4.627228231997783	0.977	0.118	1.782224262681881e-71
Nradd	1.1923944078419694e-74	2.375284713282179	0.977	0.19	2.384788815683939e-71
Dst	2.3454111526507268e-74	4.576266694269876	0.977	0.123	4.690822305301454e-71
Cd9	5.1909438516981946e-74	4.791550253253977	0.985	0.094	1.0381887703396389e-70
Ly6h	6.5610275785422144e-74	4.8277880730828375	0.955	0.091	1.3122055157084428e-70
Cnih2	8.24577967554154e-74	-3.3503818177768565	0.955	0.161	1.649155935108308e-70
Kcnk2	1.4918233110544938e-73	-11.73875030211082	0.91	0.032	2.9836466221089874e-70
Reep2	1.5059616637843476e-73	-3.9710140732477655	0.962	0.17	3.011923327568695e-70
Hspb8	1.8960513437257655e-73	3.878233457821665	0.955	0.109	3.792102687451531e-70
Slc7a14	2.4734466288629002e-73	-12.622405283505087	0.985	0.238	4.9468932577258004e-70
Mtus1	5.170710257920328e-73	-9.427520639581564	0.962	0.082	1.0341420515840656e-69
Bag3	6.584982181450659e-73	-4.892886651997609	0.947	0.115	1.316996436290132e-69
Prnp	7.380187340841901e-73	-5.621996871492062	0.97	0.132	1.4760374681683802e-69
Tgfb1i1	9.156012866766438e-73	-10.892891755606808	0.977	0.136	1.8312025733532875e-69
Fam219a	1.3038517403784884e-72	-11.73149803531225	0.97	0.188	2.607703480756977e-69
Nbl1	1.6920376774382075e-72	-13.719493782732545	0.94	0.087	3.384075354876415e-69
Cd63	1.756217769317793e-72	1.4092307037538987	0.932	0.075	3.512435538635586e-69
Snca	1.8126954632666062e-72	2.1208981497288946	0.97	0.154	3.6253909265332123e-69
Vps37d	2.767451015911104e-72	-11.090100590704807	0.962	0.096	5.534902031822208e-69
Nav1	4.5169966212655216e-72	-9.34953002752997	0.94	0.104	9.033993242531043e-69
Pam	1.3002370173520182e-71	-4.680904474022938	0.962	0.095	2.6004740347040363e-68
Cd59a	1.7139650059967482e-71	-2.2798329929395003	0.955	0.137	3.4279300119934965e-68
Lsamp	1.7272953965489162e-71	-1.4344126815718852	0.94	0.134	3.4545907930978324e-68
Chl1	8.924275395342524e-71	1.4444639273098012	0.977	0.097	1.784855079068505e-67
Dmxl2	1.4334539714705261e-70	-7.385713296247509	0.962	0.178	2.8669079429410523e-67
Mctp1	4.3337491117837455e-70	-12.86490175575071	0.947	0.074	8.667498223567491e-67
Elavl4	5.166715451848138e-70	4.703134013688924	0.97	0.221	1.0333430903696277e-66
Cdkn1a	7.61804234797107e-70	3.0697138122510044	0.977	0.102	1.523608469594214e-66
Sdc3	9.430381342492062e-70	-11.271195495797507	0.962	0.128	1.8860762684984124e-66
Krt222	2.5301211627356635e-69	-12.314414878167565	0.932	0.096	5.060242325471327e-66
Mras	4.483944625803593e-69	-8.825584840645423	0.925	0.105	8.967889251607186e-66
Abca5	9.34869841045459e-69	-3.6034935067151697	0.947	0.131	1.8697396820909179e-65
Mfap2	1.162971097143543e-68	-8.58114500065237	0.91	0.106	2.3259421942870863e-65
Mcam	2.2501138466058916e-68	-3.820831614905078	0.955	0.159	4.500227693211783e-65
Ncam1	2.585914561752644e-68	7.5109872611810875	0.977	0.26	5.171829123505288e-65
Rhou	2.7396225970108917e-68	-8.768949255670588	0.887	0.071	5.4792451940217835e-65
Phyhipl	2.5329089154783872e-67	-13.487139711625094	0.97	0.148	5.065817830956774e-64
Atl1	2.988045931829819e-67	-6.167713360085205	0.977	0.189	5.976091863659638e-64
Fam169a	3.281007516308182e-67	-11.448345637636978	0.955	0.188	6.562015032616364e-64
Napb	5.1104002251189624e-67	-4.78467923024332	0.925	0.136	1.0220800450237925e-63
Bex2	6.917641994735931e-67	8.585610190720356	0.992	0.209	1.3835283989471862e-63
Kitl	9.14359801661988e-67	-10.883895932568514	0.895	0.045	1.8287196033239758e-63
Ache	1.7905610641326033e-66	-7.544299409021804	0.962	0.107	3.5811221282652066e-63
Garnl3	1.95208112156315e-66	-7.587786965707906	0.932	0.121	3.9041622431262997e-63
Sh3bgr	2.376007223144121e-66	-8.296434986949247	0.925	0.198	4.7520144462882413e-63
Ckmt1	2.869843285986187e-66	-12.825108751607463	0.895	0.095	5.739686571972374e-63
Ralgds	3.658783378371896e-66	0.40267941149285136	0.962	0.157	7.317566756743792e-63
Cacnb3	7.776411203111824e-66	1.949624725658719	0.917	0.149	1.5552822406223646e-62
Adra2a	9.377692519200936e-66	-7.330027000657351	0.932	0.087	1.8755385038401871e-62
Gm13889	2.254588185340328e-65	-7.307783281639291	0.917	0.115	4.509176370680656e-62
Mcf2l	2.414461397487583e-65	-13.678207826482213	0.947	0.145	4.828922794975166e-62
Prtn3	7.17653870678061e-65	-13.05193922110235	0.94	0.18	1.4353077413561219e-61
Nlgn3	1.843435236272085e-64	-6.533106405781233	0.955	0.149	3.68687047254417e-61
Peg3	2.596280691169073e-64	-16.047463574779698	0.677	0.064	5.192561382338146e-61
Otub2	3.8094686876924016e-64	-10.388505334013827	0.925	0.086	7.618937375384803e-61
Tnni1	6.323606604343696e-64	-11.341959002724376	0.925	0.153	1.2647213208687393e-60
Sema6c	1.2584160101634507e-63	-12.868364716333653	0.962	0.134	2.5168320203269015e-60
Lnx1	1.8702281743250064e-63	-12.766144703687145	0.932	0.193	3.740456348650013e-60
Pir	2.1913425403517333e-63	6.19507411279918	0.917	0.12	4.3826850807034667e-60
Rnase4	5.225458587344334e-62	-2.5191099337607916	0.722	0.078	1.0450917174688668e-58
Pbx1	5.2093594543170464e-61	-11.095385860289467	0.707	0.071	1.0418718908634092e-57
Plk2	1.440815164067481e-60	-7.7637611988730795	0.932	0.204	2.881630328134962e-57
5730522E02Rik	1.4460992266506717e-60	-12.200829159282062	0.932	0.189	2.8921984533013436e-57
Auts2	1.524303755188505e-60	3.431770137809707	0.887	0.098	3.04860751037701e-57
Mfsd9	1.717844951624686e-60	-13.390643946443966	0.91	0.117	3.435689903249372e-57
Dnal1	5.780881087553269e-60	-13.28096369595514	0.902	0.136	1.1561762175106539e-56
Eno2	6.254824110592383e-60	-5.136687208714402	0.88	0.135	1.2509648221184766e-56
